"Level","File","ICAO","STAR","Transition","Runway","Seq","Waypoint","DbAltRaw","DbSpdRaw","DbAlt","DbSpd","Distance","Heading","Details"
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","5","DIVEM ","14000","0","14000 (at)","","9.4","252",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","6","LORTA ","14000","0","14000 (at)","","12.2","252",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","7","BUNOR ","11000A","0","11000A (at or above)","","29.3","242",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","8","PG529 ","6000A","0","6000A (at or above)","","13.3","269",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","9","PG530  ","Details:","230","Details:","230 (MAX)","6","231",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","10","PG532 ","Details:","0","Details:","","8.4","176",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","11","CI08L ","4000","0","4000 (at)","","5.5","84",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","12","OM08L ","1840","0","1840 (at)","","6.5","86",""
"3","Route 3.asset","LFPG","DINA4E","LOR1H","08L","13","RW08L ","388","0","388 (at)","","4.6","86",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","1","SABLE ","Details:","0","Details:","","9","31",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","2","LUMAN","24000","280","24000 (at)","280 (MAX)","27.2","80",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","3","ROMLO","Details:","0","Details:","","29.7","36",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","4","BALOD","14000","250","14000 (at)","250 (MAX)","29.4","63",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","5","CR43A","14000","0","14000 (at)","","14.5","45",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","6","DOMUS","Details:","220","Details:","220 (MAX)","12","45",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","7","PG517","13000","0","13000 (at)","","10.1","86",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","8","PG514","12000A","0","12000A (at or above)","","3.2","86",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","9","PG515","Details:","0","Details:","","6.3","86",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","10","PG516","Details:","0","Details:","","8","90",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","11","VECTOR","Details:","0","Details:","","7.7","90",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","12","CI26L","3000","0","3000 (at)","","2.3","48",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","13","FI26L","2260","0","2260 (at)","","5.9","266",""
"4","Route 4.asset","LFPG","SABLO4W","BALOD","26L","14","RW26L ","366","0","366 (at)","","9.1","266",""
"5","Route 5.asset","EHAM","REDF1A","SUGOL","06","1","REDFA","23000B","280","23000B (at or below)","280 (MAX)","9","5",""
"5","Route 5.asset","EHAM","REDF1A","SUGOL","06","2","SULUT","Details:","0","Details:","","39.7","60",""
"5","Route 5.asset","EHAM","REDF1A","SUGOL","06","3","SUGOL","7000 10000","250","7000 / 10000 (window, missing A/B)","250 (MAX)","20.5","77",""
"5","Route 5.asset","EHAM","REDF1A","SUGOL","06","4","D2930","Details:","0","Details:","","15.9","112",""
"5","Route 5.asset","EHAM","REDF1A","SUGOL","06","5","SPL","7000A","0","7000A (at or above)","","15","112",""
"5","Route 5.asset","EHAM","REDF1A","SUGOL","06","6","CHNB","3000A","0","3000A (at or above)","","9.7","227",""
"5","Route 5.asset","EHAM","REDF1A","SUGOL","06","7","CHNB-4","Details:","0","Details:","","4","186",""
"5","Route 5.asset","EHAM","REDF1A","SUGOL","06","8","CHNB","2000A","0","2000A (at or above)","","10.6","46",""
"5","Route 5.asset","EHAM","REDF1A","SUGOL","06","9","EH609","2000","0","2000 (at)","","1.6","60",""
"5","Route 5.asset","EHAM","REDF1A","SUGOL","06","10","EH616","1310","0","1310 (at)","","2.1","58",""
"5","Route 5.asset","EHAM","REDF1A","SUGOL","06","11","RW06","49","0","49 (at)","","4.1","58",""
"6","Route 6.asset","EHAM","PESE2A","RIVER","18R","1","PESER","7000B","280","7000B (at or below)","280 (MAX)","9","366",""
"6","Route 6.asset","EHAM","PESE2A","RIVER","18R","2","STDNB ","11000B","0","11000B (at or below)","","13","306",""
"6","Route 6.asset","EHAM","PESE2A","RIVER","18R","3","RIVER ","Details:","250","Details:","250 (MAX)","11.1","339",""
"6","Route 6.asset","EHAM","PESE2A","RIVER","18R","4","D2230 ","Details:","220","Details:","220 (MAX)","18.9","42",""
"6","Route 6.asset","EHAM","PESE2A","RIVER","18R","5","SPL ","7000A","0","7000A (at or above)","","15","42",""
"6","Route 6.asset","EHAM","PESE2A","RIVER","18R","6","EH644 ","3000A","0","3000A (at or above)","","12.1","339",""
"6","Route 6.asset","EHAM","PESE2A","RIVER","18R","7","INTC ","Details:","0","Details:","","3.7","139",""
"6","Route 6.asset","EHAM","PESE2A","RIVER","18R","8","EH621 ","2000","0","2000 (at)","","3.7","184",""
"6","Route 6.asset","EHAM","PESE2A","RIVER","18R","9","EH622 ","1310","0","1310 (at)","","2.2","183",""
"6","Route 6.asset","EHAM","PESE2A","RIVER","18R","10","RW18R ","49","0","49 (at)","","4.1","183",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","1","NUGRA","Details:","0","Details:","","9","118",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","2","TOBID","Details:","0","Details:","","57.5","151",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","3","SOPIT","Details:","0","Details:","","20.4","142",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","4","WCONB ","Details:","0","Details:","","8.3","142",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","5","BNN","Details:","0","Details:","","17.1","118",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","6","BNN05","Details:","0","Details:","","5","179",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","7","LAM30","Details:","0","Details:","","5.3","255",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","8","LAM34 ","Details:","0","Details:","","4","267",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","9","GWC39 ","Details:","0","Details:","","6.7","178",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","10","IAA10 ","Details:","0","Details:","","2.1","170",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","11","CF09L ","Details:","0","Details:","","2.5","92",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","12","FF09L ","Details:","0","Details:","","3.5","92",""
"7","Route 7.asset","EGLL","BNN1B","BNN","09L","13","RW09L ","Details:","0","Details:","","4.1","92",""
"8","Route 8.asset","EGLL","OCK1A","Runway: 27L","27L","1","KENET","140007000","0","140007000 (concatenated, missing A/B)","","9","167",""
"8","Route 8.asset","EGLL","OCK1A","Runway: 27L","27L","2","D291L","Details:","250","Details:","250 (MAX)","28","111",""
"8","Route 8.asset","EGLL","OCK1A","Runway: 27L","27L","3","OCK","Details:","220","Details:","220 (MAX)","11.9","111",""
"8","Route 8.asset","EGLL","OCK1A","Runway: 27L","27L","4","OCK07","7000A","220","7000A (at or above)","220 (MAX)","7","76",""
"8","Route 8.asset","EGLL","OCK1A","Runway: 27L","27L","5","OC11A","6000A","0","6000A (at or above)","","4","76",""
"8","Route 8.asset","EGLL","OCK1A","Runway: 27L","27L","6","OC12B","Details:","0","Details:","","1","76",""
"8","Route 8.asset","EGLL","OCK1A","Runway: 27L","27L","7","INTC","Details:","0","Details:","","3.3","360",""
"8","Route 8.asset","EGLL","OCK1A","Runway: 27L","27L","8","ILL10","3000","0","3000 (at)","","3.9","330",""
"8","Route 8.asset","EGLL","OCK1A","Runway: 27L","27L","9","CF27L","2500","0","2500 (at)","","2.5","270",""
"8","Route 8.asset","EGLL","OCK1A","Runway: 27L","27L","10","FF27L","1400","0","1400 (at)","","3.5","270",""
"8","Route 8.asset","EGLL","OCK1A","Runway: 27L","27L","11","RW27L","127","0","127 (at)","","5.5","272",""
"9","Route 9.asset","EKCH","ALM3M","KAS","04L","1","ALM","Details:","0","Details:","","9","263",""
"9","Route 9.asset","EKCH","ALM3M","KAS","04L","2","REPRO","Details:","250","Details:","250 (MAX)","15.5","261",""
"9","Route 9.asset","EKCH","ALM3M","KAS","04L","3","CH552","5000A","220","5000A (at or above)","220 (MAX)","5.1","261",""
"9","Route 9.asset","EKCH","ALM3M","KAS","04L","4","CH551","4000A","220","4000A (at or above)","220 (MAX)","15.7","261",""
"9","Route 9.asset","EKCH","ALM3M","KAS","04L","5","CH441","Details:","0","Details:","","7","309",""
"9","Route 9.asset","EKCH","ALM3M","KAS","04L","6","CI04L","3000","0","3000 (at)","","4.4","39",""
"9","Route 9.asset","EKCH","ALM3M","KAS","04L","7","FI04L","1600","0","1600 (at)","","4.3","38",""
"9","Route 9.asset","EKCH","ALM3M","KAS","04L","8","RW04L","63","0","63 (at)","","4.9","38",""
"10","Route 10.asset","EKCH","CDA3N","KAS","22L","1","CDA","Details:","0","Details:","","9","64",""
"10","Route 10.asset","EKCH","CDA3N","KAS","22L","2","KUTAX","Details:","0","Details:","","14.5","19",""
"10","Route 10.asset","EKCH","CDA3N","KAS","22L","3","CH993","Details:","0","Details:","","15.7","19",""
"10","Route 10.asset","EKCH","CDA3N","KAS","22L","4","CH992","Details:","0","Details:","","6.6","19",""
"10","Route 10.asset","EKCH","CDA3N","KAS","22L","5","CH991","5000A","0","5000A (at or above)","","12.3","39",""
"10","Route 10.asset","EKCH","CDA3N","KAS","22L","6","CH881","Details:","0","Details:","","5.3","328",""
"10","Route 10.asset","EKCH","CDA3N","KAS","22L","7","LAMOX","3000A","0","3000A (at or above)","","3.8","219",""
"10","Route 10.asset","EKCH","CDA3N","KAS","22L","8","93DME","3000","0","3000 (at)","","0.9","219",""
"10","Route 10.asset","EKCH","CDA3N","KAS","22L","9","FI22L ","1600","0","1600 (at)","","4.6","219",""
"10","Route 10.asset","EKCH","CDA3N","KAS","22L","10","RW22L ","58","0","58 (at)","","4.9","219",""
"11","Route 11.asset","LIRF","LAT3A","ROM","16C","1","LAT","Details:","0","Details:","","9","344",""
"11","Route 11.asset","LIRF","LAT3A","ROM","16C","2","ROM","Details:","0","Details:","","21.6","315",""
"11","Route 11.asset","LIRF","LAT3A","ROM","16C","3","INTC","Details:","0","Details:","","19.7","315",""
"11","Route 11.asset","LIRF","LAT3A","ROM","16C","4","MIKSO","2500A","0","2500A (at or above)","","4.6","252",""
"11","Route 11.asset","LIRF","LAT3A","ROM","16C","5","CI16C","2500","0","2500 (at)","","3.3","162",""
"11","Route 11.asset","LIRF","LAT3A","ROM","16C","6","FI16C","1340","0","1340 (at)","","4","161",""
"11","Route 11.asset","LIRF","LAT3A","ROM","16C","7","RW16C","58","0","58 (at)","","4.5","161",""
"12","Route 12.asset","LIRF","ELKA3A","TAQ","25","1","ELKAP","Details:","0","Details:","","9","154",""
"12","Route 12.asset","LIRF","ELKA3A","TAQ","25","2","BIBEK","Details:","0","Details:","","31.7","120",""
"12","Route 12.asset","LIRF","ELKA3A","TAQ","25","3","TAQ","Details:","0","Details:","","25.3","120",""
"12","Route 12.asset","LIRF","ELKA3A","TAQ","25","4","CMP","Details:","0","Details:","","29.4","99",""
"12","Route 12.asset","LIRF","ELKA3A","TAQ","25","5","URBNB","Details:","0","Details:","","11.8","154",""
"12","Route 12.asset","LIRF","ELKA3A","TAQ","25","6","INTC","Details:","0","Details:","","4.2","154",""
"12","Route 12.asset","LIRF","ELKA3A","TAQ","25","7","CF25","3000","0","3000 (at)","","0.9","248",""
"12","Route 12.asset","LIRF","ELKA3A","TAQ","25","8","FF25","3000","0","3000 (at)","","2","248",""
"12","Route 12.asset","LIRF","ELKA3A","TAQ","25","9","RW25","55","0","55 (at)","","9.6","248",""
"13","Route 13.asset","LSZH","NEGR1A","AMIKI","14","1","NEGRA","Details:","0","Details:","","9","133",""
"13","Route 13.asset","LSZH","NEGR1A","AMIKI","14","2","MATIV","Details:","0","Details:","","12.3","229",""
"13","Route 13.asset","LSZH","NEGR1A","AMIKI","14","3","AMIKI","Details:","0","Details:","","6.4","158",""
"13","Route 13.asset","LSZH","NEGR1A","AMIKI","14","4","ZUE","7000A","0","7000A (at or above)","","9","176",""
"13","Route 13.asset","LSZH","NEGR1A","AMIKI","14","5","ZH701","6000A","0","6000A (at or above)","","6.5","190",""
"13","Route 13.asset","LSZH","NEGR1A","AMIKI","14","6","TRA","5000A","0","5000A (at or above)","","10","290",""
"13","Route 13.asset","LSZH","NEGR1A","AMIKI","14","7","INTC","Details:","0","Details:","","5.6","227",""
"13","Route 13.asset","LSZH","NEGR1A","AMIKI","14","8","CF14","4000","0","4000 (at)","","2.8","136",""
"13","Route 13.asset","LSZH","NEGR1A","AMIKI","14","9","OSNEM","4000","0","4000 (at)","","2","136",""
"13","Route 13.asset","LSZH","NEGR1A","AMIKI","14","10","RW14","1452","0","1452 (at)","","8.1","136",""
"14","Route 14.asset","LSZH","BLM2G","GIPOL","34","1","BLM","2000B","0","2000B (at or below)","","9","159",""
"14","Route 14.asset","LSZH","BLM2G","GIPOL","34","2","ZH677","12000A","0","12000A (at or above)","","10.2","108",""
"14","Route 14.asset","LSZH","BLM2G","GIPOL","34","3","GIPOL","7000A","0","7000A (at or above)","","13","108",""
"14","Route 14.asset","LSZH","BLM2G","GIPOL","34","4","KLO","6000A","0","6000A (at or above)","","20.7","97",""
"14","Route 14.asset","LSZH","BLM2G","GIPOL","34","5","ZH726","6000","0","6000 (at)","","16","141",""
"14","Route 14.asset","LSZH","BLM2G","GIPOL","34","6","UTIXO","5000","0","5000 (at)","","8.3","320",""
"14","Route 14.asset","LSZH","BLM2G","GIPOL","34","7","MILNI","1458","0","1458 (at)","","2.9","334",""
"14","Route 14.asset","LSZH","BLM2G","GIPOL","34","8","RW24","Details:","0","Details:","","10.2","334",""
"15","Route 15.asset","LEBL","VERDB","VIBIM","02","1","VERSO","Details:","0","Details:","","9","200",""
"15","Route 15.asset","LEBL","VERDB","VIBIM","02","2","BL038","Details:","0","Details:","","30.6","263",""
"15","Route 15.asset","LEBL","VERDB","VIBIM","02","3","BL012","Details:","0","Details:","","33.4","263",""
"15","Route 15.asset","LEBL","VERDB","VIBIM","02","4","VIBIM","4000C7000","0","4000 / 7000 (C used instead of A/B)","","7.6","297",""
"15","Route 15.asset","LEBL","VERDB","VIBIM","02","5","INTC","Details:","0","Details:","","4.5","259",""
"15","Route 15.asset","LEBL","VERDB","VIBIM","02","6","SANIS","2000","0","2000 (at)","","5.7","304",""
"15","Route 15.asset","LEBL","VERDB","VIBIM","02","7","DM06A","2000","0","2000 (at)","","5.3","19",""
"15","Route 15.asset","LEBL","VERDB","VIBIM","02","8","RW02","57","0","57 (at)","","6.1","19",""
"16","Route 16.asset","LEBL","BIS2DD","LESBA","25R","1","BISBA","Details:","0","Details:","","9","209",""
"16","Route 16.asset","LEBL","BIS2DD","LESBA","25R","2","BGR","Details:","0","Details:","","20.4","246",""
"16","Route 16.asset","LEBL","BIS2DD","LESBA","25R","3","BL045","Details:","0","Details:","","19.4","205",""
"16","Route 16.asset","LEBL","BIS2DD","LESBA","25R","4","XAMUR","Details:","0","Details:","","16.6","205",""
"16","Route 16.asset","LEBL","BIS2DD","LESBA","25R","5","D0970","Details:","0","Details:","","10.5","205",""
"16","Route 16.asset","LEBL","BIS2DD","LESBA","25R","6","LESBA","4000A","0","4000A (at or above)","","5.1","278",""
"16","Route 16.asset","LEBL","BIS2DD","LESBA","25R","7","SLL-16","Details:","0","Details:","","13.5","302",""
"16","Route 16.asset","LEBL","BIS2DD","LESBA","25R","8","TEBLA","2300A","0","2300A (at or above)","","4.3","271",""
"16","Route 16.asset","LEBL","BIS2DD","LESBA","25R","9","CI25R","2300","0","2300 (at)","","4.1","246",""
"16","Route 16.asset","LEBL","BIS2DD","LESBA","25R","10","FU25R","1351","0","1351 (at)","","2.9","246",""
"16","Route 16.asset","LEBL","BIS2DD","LESBA","25R","11","RW25R","60","0","60 (at)","","4.1","246",""
"17","Route 17.asset","EBBR","ARVO2A","KERKY","02","1","ARVOL","Details:","250","Details:","250 (MAX)","9","53",""
"17","Route 17.asset","EBBR","ARVO2A","KERKY","02","2","AKOVI","Details:","0","Details:","","14.7","35",""
"17","Route 17.asset","EBBR","ARVO2A","KERKY","02","3","RODRI","Details:","0","Details:","","9.5","35",""
"17","Route 17.asset","EBBR","ARVO2A","KERKY","02","4","KERKY","Details:","0","Details:","","5.8","59",""
"17","Route 17.asset","EBBR","ARVO2A","KERKY","02","5","AFI","Details:","0","Details:","","5.7","102",""
"17","Route 17.asset","EBBR","ARVO2A","KERKY","02","6","AFI-12","Details:","0","Details:","","12","167",""
"17","Route 17.asset","EBBR","ARVO2A","KERKY","02","7","NIVOR","2000A","0","2000A (at or above)","","3.2","90",""
"17","Route 17.asset","EBBR","ARVO2A","KERKY","02","8","HUL-11","Details:","0","Details:","","2.7","77",""
"17","Route 17.asset","EBBR","ARVO2A","KERKY","02","9","CF02","2000","0","2000 (at)","","7.3","26",""
"17","Route 17.asset","EBBR","ARVO2A","KERKY","02","10","OM02","1430","0","1430 (at)","","1.7","14",""
"17","Route 17.asset","EBBR","ARVO2A","KERKY","02","11","RW02","233","0","233 (at)","","3.8","15",""
"18","Route 18.asset","EBBR","TULN3B","FLO","25R","1","TULNI","Details:","250","Details:","250 (MAX)","9","54",""
"18","Route 18.asset","EBBR","TULN3B","FLO","25R","2","CIV","Details:","0","Details:","","21","88",""
"18","Route 18.asset","EBBR","TULN3B","FLO","25R","3","HUL","Details:","0","Details:","","32.5","71",""
"18","Route 18.asset","EBBR","TULN3B","FLO","25R","4","FLO","Details:","0","Details:","","20.2","68",""
"18","Route 18.asset","EBBR","TULN3B","FLO","25R","5","FLO-10","2000A","0","2000A (at or above)","","10","310",""
"18","Route 18.asset","EBBR","TULN3B","FLO","25R","6","INTC","Details:","0","Details:","","4.7","276",""
"18","Route 18.asset","EBBR","TULN3B","FLO","25R","7","CF25R","2000","0","2000 (at)","","7.1","246",""
"18","Route 18.asset","EBBR","TULN3B","FLO","25R","8","OM25R","1400","0","1400 (at)","","1.9","245",""
"18","Route 18.asset","EBBR","TULN3B","FLO","25R","9","RW25R","160","0","160 (at)","","4","245",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","1","GIGOR","16000B","250","16000B (at or below)","250 (MAX)","9","232",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","2","PESAT","6000A","0","6000A (at or above)","","25.3","261",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","3","WW841","6000A","0","6000A (at or above)","","14.4","321",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","4","WW843","6000A","0","6000A (at or above)","","15","293",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","5","WW844","5000A","0","5000A (at or above)","","11.9","298",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","6","WW845","5000A","0","5000A (at or above)","","5","293",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","7","WW846","5000A","0","5000A (at or above)","","10","293",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","8","WW813","5000A","0","5000A (at or above)","","5","23",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","9","WW812","5000A","0","5000A (at or above)","","5","113",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","10","WW811","5000A","0","5000A (at or above)","","5","113",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","11","WW919","3400A","0","3400A (at or above)","","4.8","113",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","12","CI11X","3400","0","3400 (at)","","1.9","114",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","13","36DME","1765","0","1765 (at)","","4.8","113",""
"19","Route 19.asset","LOWW","GIGOW1W","PES2K","11","14","RW11","624","0","624 (at)","","3.5","113",""
"20","Route 20.asset","LOWW","LANU5W","NER2V","34","1","LANUX","15000B","0","15000B (at or below)","","9","136",""
"20","Route 20.asset","LOWW","LANU5W","NER2V","34","2","NERDU","6000A","0","6000A (at or above)","","25","139",""
"20","Route 20.asset","LOWW","LANU5W","NER2V","34","3","WW925","6000A","0","6000A (at or above)","","20.8","111",""
"20","Route 20.asset","LOWW","LANU5W","NER2V","34","4","WW926","6000A","0","6000A (at or above)","","15.3","136",""
"20","Route 20.asset","LOWW","LANU5W","NER2V","34","5","WW927","4000A","0","4000A (at or above)","","16.6","178",""
"20","Route 20.asset","LOWW","LANU5W","NER2V","34","6","WW924","4000A","0","4000A (at or above)","","8","25",""
"20","Route 20.asset","LOWW","LANU5W","NER2V","34","7","WW834","3000A","0","3000A (at or above)","","8","341",""
"20","Route 20.asset","LOWW","LANU5W","NER2V","34","8","CI34","3000","0","3000 (at)","","2.8","342",""
"20","Route 20.asset","LOWW","LANU5W","NER2V","34","9","OM34","2004","0","2004 (at)","","2.9","341",""
"20","Route 20.asset","LOWW","LANU5W","NER2V","34","10","RW34","647","0","647 (at)","","4.3","341",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","1","GELBU","Details:","0","Details:","","9","128",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","2","TURKO","Details:","0","Details:","","26.5","126",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","3","FJ510","Details:","0","Details:","","23.4","79",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","4","FJ511","Details:","0","Details:","","33.1","89",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","5","FJ512","Details:","0","Details:","","10.9","149",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","6","FJ513","Details:","0","Details:","","15.4","59",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","7","BUKED","Details:","0","Details:","","5","60",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","8","FJ515","Details:","0","Details:","","7.6","60",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","9","FJ516","Details:","0","Details:","","8","330",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","10","FJ517","Details:","0","Details:","","7.6","240",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","11","FJ518","Details:","0","Details:","","5","240",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","12","FJ519","Details:","0","Details:","","3","239",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","13","DISC","Details:","0","Details:","","4","0",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","14","ASDEV","Details:","0","Details:","","0","59",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","15","CI06","Details:","0","Details:","","1.6","59",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","16","FI06","Details:","0","Details:","","3","59",""
"21","Route 21.asset","LTFJ","GELG1G","ASDEV","06","17","RW06","Details:","0","Details:","","4.2","60",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","1","TETSA","Details:","0","Details:","","9","122",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","2","PABDO","14000","250","14000 (at)","250 (MAX)","38.3","111",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","3","PAZAR","Details:","0","Details:","","22.8","112",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","4","MEBOV","9000","220","9000 (at)","220 (MAX)","27.2","192",""
"22","Route 22.asset","LTFJ","TETS1H","BEMKA","24","5","FJ931","Details:","0","Details:","","9.5","240",""
