"Level","ICAO","STAR","Transition","Runway","Seq","Waypoint","DatabaseAltitude","RealAltitude","DatabaseSpeed","RealSpeed","AltitudeCompare","SpeedCompare","Notes","Source"
"1","EDDV","ELNA2P","DL27R","27R","15","RW27R","AT 219","THR 168","(none)","(none)","No (THR vs DB)","Yes (both none)","Threshold elevation; AD elev 183. Not a crossing restriction","AIP AD elev / THR 27R"
"2","EDDV","HLZ4R","CE09L","09L","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"2","EDDV","HLZ4R","CE09L","09L","2","HLZ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","HLZ VOR; no published crossing on older HLZ STAR","DFS"
"2","EDDV","HLZ4R","CE09L","09L","3","CELNB","AT OR BELOW 11000","AT OR BELOW 11000","(none)","(none)","Yes","Yes (both none)","CEL arrival max on older HLZ/CEL STAR","Older EDDV STAR"
"2","EDDV","HLZ4R","CE09L","09L","4","DV460","(none)","(none)","MAX 220","(none)","Yes (both none)","Extra in DB","Radar-vector box","EDDV radar overlay"
"2","EDDV","HLZ4R","CE09L","09L","5","DV461","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box","EDDV radar overlay"
"2","EDDV","HLZ4R","CE09L","09L","6","DV462","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box","EDDV radar overlay"
"2","EDDV","HLZ4R","CE09L","09L","7","DV463","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box","EDDV radar overlay"
"2","EDDV","HLZ4R","CE09L","09L","8","DV464","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box","EDDV radar overlay"
"2","EDDV","HLZ4R","CE09L","09L","9","DV465","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box","EDDV radar overlay"
"2","EDDV","HLZ4R","CE09L","09L","10","DV475","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box","EDDV radar overlay"
"2","EDDV","HLZ4R","CE09L","09L","11","DV474","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box","EDDV radar overlay"
"2","EDDV","HLZ4R","CE09L","09L","12","DV473","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box","EDDV radar overlay"
"2","EDDV","HLZ4R","CE09L","09L","13","DV472","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar-vector box","EDDV radar overlay"
"2","EDDV","HLZ4R","CE09L","09L","14","DESIM","AT 3000","AT 3000","(none)","(none)","Yes","Yes (both none)","ILS-Z RWY 09L intercept 3000","VATSIM Germany ILS-Z"
"2","EDDV","HLZ4R","CE09L","09L","15","HWNB","AT 1460","AT 1400","(none)","(none)","Yes","Yes (both none)","3 deg GS at ~4 NM","EDDV ILS 09L profile"
"2","EDDV","HLZ4R","CE09L","09L","16","RW09L","AT 219","THR 167","(none)","(none)","No (THR vs DB)","Yes (both none)","Threshold elevation; AD elev 183","AIP"
"3","LFPG","DINA4E","LOR1H","08L","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","2","DINAN ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","3","CRL80 ","AT 24000","(none)","MAX 280","(none)","Extra in DB","Extra in DB","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","4","ZERAM ","AT 18000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","5","ANARU ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","6","DIVEM ","AT 14000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","7","LORTA ","AT 14000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","8","BUNOR ","AT OR ABOVE 11000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","9","PG529 ","AT OR ABOVE 6000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","10","PG530  ","(none)","(none)","MAX 230","(none)","Yes (both none)","Extra in DB","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","11","PG532 ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","12","CI08L ","AT 4000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","13","OM08L ","AT 1840","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"3","LFPG","DINA4E","LOR1H","08L","14","RW08L ","AT 388","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"4","LFPG","SABLO4W","BALOD","26L","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"4","LFPG","SABLO4W","BALOD","26L","2","SABLE ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"4","LFPG","SABLO4W","BALOD","26L","3","LUMAN","AT 24000","AT 24000","MAX 280","(none)","Yes","Extra in DB","FL240 STAR step","LFPG SABLO"
"4","LFPG","SABLO4W","BALOD","26L","4","ROMLO","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published crossing","LFPG SABLO"
"4","LFPG","SABLO4W","BALOD","26L","5","BALOD","AT 14000","AT 14000","MAX 250","MAX 250","Yes","Yes","BALOD crossing FL140 / 250 kt","LFPG SABLO / BALOD trans"
"4","LFPG","SABLO4W","BALOD","26L","6","CR43A","AT 14000","AT 14000","(none)","(none)","Yes","Yes (both none)","Same FL140 platform","LFPG"
"4","LFPG","SABLO4W","BALOD","26L","7","DOMUS","(none)","(none)","MAX 220","MAX 220","Yes (both none)","Yes","Initial approach speed","LFPG"
"4","LFPG","SABLO4W","BALOD","26L","8","PG517","AT 13000","AT 13000","(none)","(none)","Yes","Yes (both none)","RNAV arrival step","LFPG"
"4","LFPG","SABLO4W","BALOD","26L","9","PG514","AT OR ABOVE 12000","AT OR ABOVE 12000","(none)","(none)","Yes","Yes (both none)","RNAV arrival min","LFPG"
"4","LFPG","SABLO4W","BALOD","26L","10","PG515","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published crossing","LFPG"
"4","LFPG","SABLO4W","BALOD","26L","11","PG516","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published crossing","LFPG"
"4","LFPG","SABLO4W","BALOD","26L","12","VECTOR","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar intercept, not a chart fix","LFPG"
"4","LFPG","SABLO4W","BALOD","26L","13","CI26L","AT 3000","AT 4000","(none)","(none)","No","Yes (both none)","Current ILS 26L default 4000 (3000/2000 available)","IVAO LFPG memo AIRAC 2606"
"4","LFPG","SABLO4W","BALOD","26L","14","FI26L","AT 2260","AT 2260","(none)","(none)","Yes","Yes (both none)","GS / FAF check altitude","LFPG ILS 26L"
"4","LFPG","SABLO4W","BALOD","26L","15","RW26L ","AT 366","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"5","EHAM","REDF1A","SUGOL","06","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"5","EHAM","REDF1A","SUGOL","06","2","REDFA","AT OR BELOW 23000","AT OR BELOW FL230","MAX 280","(none)","Yes","Extra in DB","REDFA 1A MAX FL230. 280 kt not on STAR","LVNL EHAM STAR AMDT 03/2026"
"5","EHAM","REDF1A","SUGOL","06","3","SULUT","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published crossing","LVNL STAR"
"5","EHAM","REDF1A","SUGOL","06","4","SUGOL","BETWEEN 7000-10000 (missing A/B)","BETWEEN FL070-FL100","MAX 250","MAX 250","Yes","Yes","IAF SUGOL FL070-FL100, MAX 250 KIAS","LVNL STAR + IVAO NL briefing"
"5","EHAM","REDF1A","SUGOL","06","5","D2930","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radial/DME leg, no published crossing","LVNL"
"5","EHAM","REDF1A","SUGOL","06","6","SPL","AT OR ABOVE 7000","AT OR ABOVE 7000","(none)","(none)","Yes","Yes (both none)","SPL / IAF related min FL070","LVNL"
"5","EHAM","REDF1A","SUGOL","06","7","CHNB","AT OR ABOVE 3000","AT OR ABOVE 3000","(none)","(none)","Yes","Yes (both none)","SUGOL 2A transition via CH","EHAM IAC-06.2"
"5","EHAM","REDF1A","SUGOL","06","8","CHNB-4","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","4 NM to CH, no extra published min","EHAM IAC"
"5","EHAM","REDF1A","SUGOL","06","9","CHNB","AT OR ABOVE 2000","AT OR ABOVE 2000","(none)","(none)","Yes","Yes (both none)","Later CH crossing on ILS 06 transition","EHAM IAC-06.2"
"5","EHAM","REDF1A","SUGOL","06","10","EH609","AT 2000","AT 2000","(none)","(none)","Yes","Yes (both none)","FAF EH609 6.2 KAG 2000 AMSL","opennav EHAM IAC-06-2"
"5","EHAM","REDF1A","SUGOL","06","11","EH616","AT 1310","AT 1310","(none)","MAX 160","Yes","Missing in DB","4.0 KAG 1310 AMSL, 160 KIAS","opennav EHAM IAC-06-2"
"5","EHAM","REDF1A","SUGOL","06","12","RW06","AT 49","THR -11","(none)","(none)","No (THR vs DB)","Yes (both none)","THR 06 elev -11 ft","AIP EHAM"
"6","EHAM","PESE2A","RIVER","18R","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"6","EHAM","PESE2A","RIVER","18R","2","PESER","AT OR BELOW 7000","AT OR BELOW FL070","MAX 280","(none)","Yes","Extra in DB","PESER MAX FL070. 280 kt not on STAR","LVNL STAR / IVAO NL"
"6","EHAM","PESE2A","RIVER","18R","3","STDNB ","AT OR BELOW 11000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"6","EHAM","PESE2A","RIVER","18R","4","RIVER ","(none)","(none)","MAX 250","(none)","Yes (both none)","Extra in DB","No published restriction found at this fix",""
"6","EHAM","PESE2A","RIVER","18R","5","D2230 ","(none)","(none)","MAX 220","(none)","Yes (both none)","Extra in DB","No published restriction found at this fix",""
"6","EHAM","PESE2A","RIVER","18R","6","SPL ","AT OR ABOVE 7000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"6","EHAM","PESE2A","RIVER","18R","7","EH644 ","AT OR ABOVE 3000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"6","EHAM","PESE2A","RIVER","18R","8","INTC ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"6","EHAM","PESE2A","RIVER","18R","9","EH621 ","AT 2000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"6","EHAM","PESE2A","RIVER","18R","10","EH622 ","AT 1310","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"6","EHAM","PESE2A","RIVER","18R","11","RW18R ","AT 49","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"7","EGLL","BNN1B","BNN","09L","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"7","EGLL","BNN1B","BNN","09L","2","NUGRA","(none)","(none)","(none)","MAX 250","Yes (both none)","Missing in DB","SLP: 250 KIAS 3 min before hold. No NUGRA altitude","UK AIP BNN 1B 2014"
"7","EGLL","BNN1B","BNN","09L","3","TOBID","(none)","AT OR BELOW FL200","(none)","(none)","Missing in DB","Yes (both none)","BNN 1B: FL200 by TOBID","UK AIP EGLL 7-3 / NUGRA 1H"
"7","EGLL","BNN1B","BNN","09L","4","SOPIT","(none)","AT OR BELOW FL150","(none)","MAX 220","Missing in DB","Missing in DB","FL150 by SOPIT; LTMA hold MAX 220 through FL140","UK AIP BNN 1B / NUGRA 1H"
"7","EGLL","BNN1B","BNN","09L","5","WCONB ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"7","EGLL","BNN1B","BNN","09L","6","BNN","(none)","AT 7000","(none)","MAX 220","Missing in DB","Missing in DB","BNN stack lowest 7000; hold MAX 220 to FL140","UK AIP BNN STAR"
"7","EGLL","BNN1B","BNN","09L","7","BNN05","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Initial approach / radar","UK AIP IAP notes"
"7","EGLL","BNN1B","BNN","09L","8","LAM30","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar vector leg","UK AIP"
"7","EGLL","BNN1B","BNN","09L","9","LAM34 ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"7","EGLL","BNN1B","BNN","09L","10","GWC39 ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"7","EGLL","BNN1B","BNN","09L","11","IAA10 ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"7","EGLL","BNN1B","BNN","09L","12","CF09L ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"7","EGLL","BNN1B","BNN","09L","13","FF09L ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"7","EGLL","BNN1B","BNN","09L","14","RW09L ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published restriction found at this fix",""
"8","EGLL","OCK1A","Runway: 27L","27L","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"8","EGLL","OCK1A","Runway: 27L","27L","2","KENET","140007000 (concatenated FL140 + 7000)","AT OR BELOW FL140","(none)","(none)","Yes","Yes (both none)","OCK 1A: FL140 by 40 NM before OCK (KENET is OCK D40). 7000 is OCK stack, not KENET","UK AIP EGLL 7-6 (2013)"
"8","EGLL","OCK1A","Runway: 27L","27L","3","D291L","(none)","(none)","MAX 250","MAX 250","Yes (both none)","Yes","SLP / 3 min before hold MAX 250 KIAS","UK AIP OCK STAR"
"8","EGLL","OCK1A","Runway: 27L","27L","4","OCK","(none)","AT 7000","MAX 220","MAX 220","Missing in DB","Yes","OCK stack min 7000; hold MAX 220 through FL140","UK AIP OCK STAR"
"8","EGLL","OCK1A","Runway: 27L","27L","5","OCK07","AT OR ABOVE 7000","AT OR ABOVE 7000","MAX 220","MAX 220","Yes","Yes","Leaving stack / 7 DME OCK","UK AIP / initial"
"8","EGLL","OCK1A","Runway: 27L","27L","6","OC11A","AT OR ABOVE 6000","AT OR ABOVE 6000","(none)","(none)","Yes","Yes (both none)","Intermediate 6000","Heathrow initial"
"8","EGLL","OCK1A","Runway: 27L","27L","7","OC12B","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published crossing","Heathrow"
"8","EGLL","OCK1A","Runway: 27L","27L","8","INTC","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar intercept","UK AIP"
"8","EGLL","OCK1A","Runway: 27L","27L","9","ILL10","AT 3000","AT 3000","(none)","(none)","Yes","Yes (both none)","I-LL D10 / 3000 platform","UK AIP ILS 27L"
"8","EGLL","OCK1A","Runway: 27L","27L","10","CF27L","AT 2500","AT 2500","(none)","(none)","Yes","Yes (both none)","ILS intercept 2500","UK AIP EGLL 8-9"
"8","EGLL","OCK1A","Runway: 27L","27L","11","FF27L","AT 1400","AT 1400","(none)","(none)","Yes","Yes (both none)","GP/FAP 1400","UK AIP EGLL 8-9"
"8","EGLL","OCK1A","Runway: 27L","27L","12","RW27L","AT 127","THR 77","(none)","(none)","Yes (THR close)","Yes (both none)","AD elev 83","UK AIP"
"9","EKCH","ALM3M","KAS","04L","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"9","EKCH","ALM3M","KAS","04L","2","ALM","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","ALM VOR STAR entry","EKCH ALM STAR"
"9","EKCH","ALM3M","KAS","04L","3","REPRO","(none)","(none)","MAX 250","MAX 250","Yes (both none)","Yes","TMA 250; not always on the fix","EKCH"
"9","EKCH","ALM3M","KAS","04L","4","CH552","AT OR ABOVE 5000","AT OR ABOVE 5000","MAX 220","MAX 220","Yes","Yes","RNAV downwind 5000+ / 220","EKCH RNAV STAR 04L"
"9","EKCH","ALM3M","KAS","04L","5","CH551","AT OR ABOVE 4000","AT OR ABOVE 4000","MAX 220","MAX 220","Yes","Yes","RNAV downwind 4000+ / 220","EKCH RNAV STAR 04L"
"9","EKCH","ALM3M","KAS","04L","6","CH441","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Base / intercept turn","EKCH"
"9","EKCH","ALM3M","KAS","04L","7","CI04L","AT 3000","AT 3000","(none)","(none)","Yes","Yes (both none)","ILS 04L intercept 3000","EKCH ILS 04L"
"9","EKCH","ALM3M","KAS","04L","8","FI04L","AT 1600","AT 1600","(none)","(none)","Yes","Yes (both none)","FAF / GS ~1600","EKCH ILS 04L"
"9","EKCH","ALM3M","KAS","04L","9","RW04L","AT 63","THR 17","(none)","(none)","Yes (THR close)","Yes (both none)","AD elev 17","AIP EKCH"
"10","EKCH","CDA3N","KAS","22L","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"10","EKCH","CDA3N","KAS","22L","2","CDA","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","CDA VOR STAR entry","EKCH CDA STAR"
"10","EKCH","CDA3N","KAS","22L","3","KUTAX","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published crossing","EKCH"
"10","EKCH","CDA3N","KAS","22L","4","CH993","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","RNAV track, no published min","EKCH"
"10","EKCH","CDA3N","KAS","22L","5","CH992","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","RNAV track, no published min","EKCH"
"10","EKCH","CDA3N","KAS","22L","6","CH991","AT OR ABOVE 5000","AT OR ABOVE 5000","(none)","(none)","Yes","Yes (both none)","RNAV downwind 5000+","EKCH RNAV 22L"
"10","EKCH","CDA3N","KAS","22L","7","CH881","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Base turn","EKCH"
"10","EKCH","CDA3N","KAS","22L","8","LAMOX","AT OR ABOVE 3000","AT OR ABOVE 3000","(none)","(none)","Yes","Yes (both none)","IF 3000+","EKCH ILS 22L"
"10","EKCH","CDA3N","KAS","22L","9","93DME","AT 3000","AT 3000","(none)","(none)","Yes","Yes (both none)","LOC intercept 3000","EKCH ILS 22L"
"10","EKCH","CDA3N","KAS","22L","10","FI22L ","AT 1600","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"10","EKCH","CDA3N","KAS","22L","11","RW22L ","AT 58","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"11","LIRF","LAT3A","ROM","16C","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"11","LIRF","LAT3A","ROM","16C","2","LAT","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","LAT VOR STAR entry","LIRF LAT STAR"
"11","LIRF","LAT3A","ROM","16C","3","ROM","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","ROM VOR; no published crossing on older LAT3A","LIRF"
"11","LIRF","LAT3A","ROM","16C","4","INTC","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar intercept","LIRF"
"11","LIRF","LAT3A","ROM","16C","5","MIKSO","AT OR ABOVE 2500","AT OR ABOVE 2500","(none)","(none)","Yes","Yes (both none)","IAF 2500+","LIRF ILS 16C"
"11","LIRF","LAT3A","ROM","16C","6","CI16C","AT 2500","AT 2500","(none)","(none)","Yes","Yes (both none)","LOC intercept 2500","LIRF ILS 16C"
"11","LIRF","LAT3A","ROM","16C","7","FI16C","AT 1340","AT 1340","(none)","(none)","Yes","Yes (both none)","FAF / GS","LIRF ILS 16C"
"11","LIRF","LAT3A","ROM","16C","8","RW16C","AT 58","THR 13","(none)","(none)","Yes (THR close)","Yes (both none)","AD elev 13","AIP LIRF"
"12","LIRF","ELKA3A","TAQ","25","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"12","LIRF","ELKA3A","TAQ","25","2","ELKAP","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","STAR entry","LIRF ELKA STAR"
"12","LIRF","ELKA3A","TAQ","25","3","BIBEK","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published crossing on older ELKA3A","LIRF"
"12","LIRF","ELKA3A","TAQ","25","4","TAQ","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","TAQ VOR; altitude usually ATC","LIRF"
"12","LIRF","ELKA3A","TAQ","25","5","CMP","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published crossing","LIRF"
"12","LIRF","ELKA3A","TAQ","25","6","URBNB","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Urban NDB area","LIRF"
"12","LIRF","ELKA3A","TAQ","25","7","INTC","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar intercept","LIRF"
"12","LIRF","ELKA3A","TAQ","25","8","CF25","AT 3000","AT 3000","(none)","(none)","Yes","Yes (both none)","ILS 25 intercept 3000","LIRF ILS 25"
"12","LIRF","ELKA3A","TAQ","25","9","FF25","AT 3000","AT 3000","(none)","(none)","Yes","Yes (both none)","Platform / FAF 3000 on this ILS","LIRF ILS 25"
"12","LIRF","ELKA3A","TAQ","25","10","RW25","AT 55","THR 13","(none)","(none)","Yes (THR close)","Yes (both none)","AD elev 13","AIP LIRF"
"13","LSZH","NEGR1A","AMIKI","14","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"13","LSZH","NEGR1A","AMIKI","14","2","NEGRA","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","STAR entry","LSZH NEGR STAR"
"13","LSZH","NEGR1A","AMIKI","14","3","MATIV","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","No published crossing","LSZH"
"13","LSZH","NEGR1A","AMIKI","14","4","AMIKI","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","AMIKI IAF / hold; mins on later fixes","LSZH STAR AMIKI"
"13","LSZH","NEGR1A","AMIKI","14","5","ZUE","AT OR ABOVE 7000","AT OR ABOVE 7000","(none)","(none)","Yes","Yes (both none)","ZUE 7000+","LSZH ILS 14 / AMIKI STAR"
"13","LSZH","NEGR1A","AMIKI","14","6","ZH701","AT OR ABOVE 6000","AT OR ABOVE 6000","(none)","(none)","Yes","Yes (both none)","RNAV 6000+","LSZH"
"13","LSZH","NEGR1A","AMIKI","14","7","TRA","AT OR ABOVE 5000","AT OR ABOVE 5000","(none)","(none)","Yes","Yes (both none)","TRA 5000+","LSZH"
"13","LSZH","NEGR1A","AMIKI","14","8","INTC","(none)","(none)","(none)","(none)","Yes (both none)","Yes (both none)","Radar intercept","LSZH"
"13","LSZH","NEGR1A","AMIKI","14","9","CF14","AT 4000","AT 4000","(none)","(none)","Yes","Yes (both none)","ILS 14 intercept 4000","LSZH ILS 14"
"13","LSZH","NEGR1A","AMIKI","14","10","OSNEM","AT 4000","AT 4000","(none)","(none)","Yes","Yes (both none)","GS / FAF 4000","LSZH ILS 14"
"13","LSZH","NEGR1A","AMIKI","14","11","RW14","AT 1452","THR 1390","(none)","(none)","No (THR vs DB)","Yes (both none)","AD elev 1416","LSZH AIP"
"14","LSZH","BLM2G","GIPOL","34","1","_START_","AT 20000","(none)","(none)","(none)","Extra in DB","Yes (both none)","No published restriction found at this fix",""
"14","LSZH","BLM2G","GIPOL","34","2","BLM","AT OR BELOW 2000","AT OR BELOW FL200","(none)","(none)","No","Yes (both none)","BLM arrival is FL200-class, not 2000 ft (field 1416)","LSZH BLM STAR"
"14","LSZH","BLM2G","GIPOL","34","3","ZH677","AT OR ABOVE 12000","AT OR ABOVE 12000","(none)","(none)","Yes","Yes (both none)","RNAV 12000+","LSZH BLM RNAV"
